Timestamp,CPU Usage,Memory Usage,Disk Usage
2025-11-29 02:24:47,12.5,81.6,91.3
2025-11-29 02:25:48,4.7,81.8,91.3
2025-11-29 02:26:49,6.6,81.2,91.3
2025-11-29 02:27:50,3.5,81.3,91.3
2025-11-29 02:28:51,8.3,81.5,91.3
2025-11-29 02:29:52,8.6,81.8,91.3
2025-11-29 02:30:53,10.6,82.3,91.3
2025-11-29 02:31:54,3.9,82.1,91.3
2025-11-29 02:32:55,4.6,82.0,91.3
2025-11-29 02:33:56,10.5,81.5,91.3
2025-11-29 02:34:57,6.2,81.5,91.3
2025-11-29 02:35:58,4.3,81.7,91.3
2025-11-29 02:36:59,8.6,81.9,91.3
2025-11-29 02:38:00,12.1,81.9,91.3
2025-11-29 02:39:01,12.5,81.9,91.3
2025-11-29 02:40:02,5.1,82.1,91.3
2025-11-29 02:41:03,3.9,82.2,91.3
2025-11-29 02:42:04,3.9,81.6,91.3
2025-11-29 02:43:05,7.4,81.6,91.3
2025-11-29 02:44:06,8.6,81.1,91.3
2025-11-29 02:45:07,12.1,81.2,91.3
2025-11-29 02:46:08,13.3,81.3,91.3
2025-11-29 02:47:09,5.8,81.5,91.3
2025-11-29 02:48:10,6.7,81.6,91.3
2025-11-29 02:49:11,5.9,81.5,91.3
2025-11-29 02:50:12,8.5,81.9,91.3
2025-11-29 02:51:13,7.0,81.8,91.3
2025-11-29 02:52:15,5.4,81.9,91.3
2025-11-29 02:53:16,8.6,82.0,91.3
2025-11-29 02:54:17,5.1,81.9,91.3
2025-11-29 02:55:18,11.7,81.5,91.3
2025-11-29 02:56:19,19.5,82.3,91.3
2025-11-29 02:57:20,10.5,81.2,91.3
2025-11-29 02:58:21,9.8,81.5,91.3
2025-11-29 02:59:22,8.9,81.4,91.3
2025-11-29 03:00:23,7.0,81.4,91.3
2025-11-29 03:01:24,4.7,81.7,91.3
2025-11-29 03:02:25,9.0,81.7,91.3
2025-11-29 03:03:26,12.1,82.8,91.3
2025-11-29 03:04:27,13.2,81.6,91.3
2025-11-29 03:05:28,10.5,81.7,91.3
2025-11-29 03:06:29,11.5,81.8,91.3
2025-11-29 03:07:30,22.1,81.8,91.3
2025-11-29 03:08:31,7.3,82.0,91.3
2025-11-29 03:09:32,50.6,82.2,91.3
2025-11-29 03:10:33,8.6,82.3,91.3
2025-11-29 03:11:34,5.5,81.8,91.3
2025-11-29 03:12:35,9.8,81.7,91.3
2025-11-29 03:13:36,15.2,81.5,91.3
2025-11-29 03:14:37,5.4,81.4,91.3
2025-11-29 03:15:38,6.2,81.3,91.3
2025-11-29 03:16:39,7.8,81.8,91.3
2025-11-29 03:17:40,9.3,81.6,91.3
2025-11-29 03:18:41,10.5,81.9,91.3
2025-11-29 03:19:42,6.2,81.9,91.3
2025-11-29 03:20:43,4.3,81.6,91.3
2025-11-29 03:21:44,9.7,81.7,91.3
2025-11-29 03:22:45,9.4,81.7,91.3
2025-11-29 03:23:46,46.7,81.5,91.3
2025-11-29 03:24:47,9.0,81.5,91.3
2025-11-29 03:25:48,6.6,81.6,91.3
2025-11-29 03:26:49,3.9,80.9,91.3
2025-11-29 03:27:50,7.5,81.0,91.3
2025-11-29 03:28:51,6.2,81.5,91.3
2025-11-29 03:29:52,8.2,81.9,91.3
2025-11-29 03:30:53,7.4,81.5,91.3
2025-11-29 03:31:54,7.5,81.7,91.3
2025-11-29 03:32:55,5.1,81.5,91.3
2025-11-29 03:33:56,9.3,81.6,91.3
2025-11-29 03:34:57,6.6,81.8,91.3
2025-11-29 03:35:58,8.6,82.0,91.3
2025-11-29 03:36:59,7.0,82.0,91.3
2025-11-29 03:38:00,11.9,82.1,91.3
2025-11-29 03:39:01,8.6,82.1,91.3
2025-11-29 03:40:02,3.9,82.1,91.3
2025-11-29 03:41:03,4.7,82.0,91.3
2025-11-29 03:42:04,6.6,81.3,91.3
2025-11-29 03:43:05,7.4,81.3,91.3
2025-11-29 03:44:06,12.5,81.1,91.3
2025-11-29 03:45:07,7.8,81.3,91.3
2025-11-29 03:46:08,8.2,81.3,91.3
2025-11-29 03:47:09,3.9,81.3,91.3
2025-11-29 03:48:10,5.9,81.3,91.3
2025-11-29 03:49:11,3.9,81.3,91.3
2025-11-29 03:50:12,9.3,81.5,91.3
2025-11-29 03:51:13,10.2,81.5,91.3
2025-11-29 03:52:14,7.8,81.6,91.3
2025-11-29 03:53:15,7.0,81.6,91.3
2025-11-29 03:54:16,7.0,81.2,91.3
2025-11-29 03:55:17,3.1,81.5,91.3
2025-11-29 03:56:18,10.2,81.6,91.3
2025-11-29 03:57:19,8.9,81.0,91.3
2025-11-29 03:58:20,5.8,81.0,91.3
2025-11-29 03:59:21,7.0,82.0,91.3
2025-11-29 04:00:22,5.5,81.8,91.3
2025-11-29 04:01:23,8.1,81.9,91.3
2025-11-29 04:02:24,7.8,81.9,91.3
2025-11-29 04:03:26,8.1,82.8,91.3
2025-11-29 04:04:27,9.8,81.4,91.3
2025-11-29 04:05:28,12.1,81.5,91.3
2025-11-29 04:06:29,9.3,81.8,91.3
2025-11-29 04:07:30,5.1,81.7,91.3
2025-11-29 04:08:31,4.7,81.6,91.3
2025-11-29 04:09:32,5.5,81.5,91.3
2025-11-29 04:10:33,8.5,81.5,91.3
2025-11-29 04:11:34,9.3,81.6,91.3
2025-11-29 04:12:35,10.5,81.1,91.3
2025-11-29 04:13:36,7.8,80.8,91.3
2025-11-29 04:14:37,8.6,81.2,91.3
2025-11-29 04:15:38,13.2,81.4,91.3
2025-11-29 04:16:39,8.5,81.3,91.3
2025-11-29 04:17:40,6.6,81.7,91.3
2025-11-29 04:18:41,11.3,81.4,91.3
2025-11-29 04:19:42,31.0,81.6,91.3
2025-11-29 04:20:43,7.4,81.9,91.3
2025-11-29 04:21:44,10.5,81.4,91.3
2025-11-29 04:22:45,4.3,81.3,91.3
2025-11-29 04:23:46,7.4,81.5,91.3
2025-11-29 04:24:47,8.6,81.5,91.3
2025-11-29 04:25:48,7.8,81.4,91.3
2025-11-29 04:26:49,6.6,80.9,91.3
2025-11-29 04:27:50,14.8,80.7,91.3
2025-11-29 04:28:51,16.7,80.8,91.3
2025-11-29 04:29:52,8.6,81.7,91.3
2025-11-29 04:30:53,13.5,81.6,91.3
2025-11-29 04:31:54,4.7,81.6,91.3
2025-11-29 04:32:55,3.5,81.6,91.3
2025-11-29 04:33:56,6.2,81.1,91.3
2025-11-29 04:34:57,7.0,81.3,91.3
2025-11-29 04:35:58,13.6,81.4,91.3
2025-11-29 04:36:59,12.9,81.6,91.3
2025-11-29 04:38:00,11.3,81.3,91.3
2025-11-29 04:39:01,7.0,81.7,91.3
2025-11-29 04:40:02,7.8,81.7,91.3
2025-11-29 04:41:03,6.9,81.8,91.3
2025-11-29 04:42:04,12.4,80.9,91.3
2025-11-29 04:43:05,15.6,81.0,91.3
2025-11-29 04:44:06,8.1,80.7,91.3
2025-11-29 04:45:07,8.2,81.1,91.3
2025-11-29 04:46:08,9.8,81.3,91.3
2025-11-29 04:47:09,21.4,81.1,91.3
2025-11-29 04:48:10,8.5,81.6,91.3
2025-11-29 04:49:11,6.2,81.2,91.3
2025-11-29 04:50:12,6.6,81.3,91.3
2025-11-29 04:51:13,10.2,81.5,91.3
2025-11-29 04:52:14,7.0,81.3,91.3
2025-11-29 04:53:15,7.4,81.4,91.3
2025-11-29 04:54:16,17.1,81.7,91.3
2025-11-29 04:55:17,7.8,81.8,91.3
2025-11-29 04:56:18,14.8,81.5,91.3
2025-11-29 04:57:19,5.0,80.9,91.3
2025-11-29 04:58:20,10.5,80.9,91.3
2025-11-29 04:59:21,11.2,80.9,91.3
2025-11-29 05:00:22,9.7,81.3,91.3
2025-11-29 05:01:23,11.3,81.5,91.3
2025-11-29 05:02:24,7.0,81.6,91.3
2025-11-29 05:03:25,14.1,82.3,91.3
2025-11-29 05:04:26,16.6,81.1,91.3
2025-11-29 05:05:27,7.1,81.3,91.3
2025-11-29 05:06:28,6.6,81.1,91.3
2025-11-29 05:07:29,5.8,81.5,91.3
2025-11-29 05:08:30,30.5,81.6,91.3
2025-11-29 05:09:31,7.8,81.5,91.3
2025-11-29 05:10:32,8.2,81.4,91.3
2025-11-29 05:11:33,10.2,81.4,91.3
2025-11-29 05:12:34,7.7,80.8,91.3
2025-11-29 05:13:35,7.0,80.8,91.3
2025-11-29 05:14:36,10.1,80.9,91.3
2025-11-29 05:15:37,32.9,80.9,91.3
2025-11-29 05:16:38,7.0,81.3,91.3
2025-11-29 05:17:39,3.9,81.4,91.3
2025-11-29 05:18:40,8.2,81.2,91.3
2025-11-29 05:19:41,7.4,81.6,91.3
2025-11-29 05:20:42,5.0,81.5,91.3
2025-11-29 05:21:43,51.4,81.8,91.3
2025-11-29 05:22:44,17.1,81.7,91.3
2025-11-29 05:23:45,14.0,81.6,91.3
2025-11-29 05:24:46,7.8,81.8,91.3
2025-11-29 05:25:47,33.7,81.7,91.3
2025-11-29 05:26:48,5.9,81.9,91.3
2025-11-29 05:27:49,6.3,81.4,91.3
2025-11-29 05:28:50,10.9,81.4,91.3
2025-11-29 05:29:51,10.5,81.3,91.3
2025-11-29 05:30:52,8.2,81.8,91.3
2025-11-29 05:31:54,3.9,81.7,91.3
2025-11-29 05:32:55,5.8,81.7,91.3
2025-11-29 05:33:56,4.7,81.7,91.3
2025-11-29 05:34:57,7.0,81.5,91.3
2025-11-29 05:35:58,7.4,81.5,91.3
2025-11-29 05:36:59,9.8,81.8,91.3
2025-11-29 05:38:00,12.1,81.8,91.3
2025-11-29 05:39:01,3.9,82.1,91.3
2025-11-29 05:40:02,7.0,82.3,91.3
2025-11-29 05:41:03,5.8,82.3,91.3
2025-11-29 05:42:04,13.8,81.9,91.3
2025-11-29 05:43:05,16.3,82.1,91.3
2025-11-29 05:44:06,11.2,81.6,91.3
2025-11-29 05:45:07,7.0,81.9,91.3
2025-11-29 05:46:08,5.5,82.0,91.3
2025-11-29 05:47:09,9.4,82.0,91.3
2025-11-29 05:48:10,31.4,82.2,91.3
2025-11-29 05:49:11,7.4,82.1,91.3
2025-11-29 05:50:12,5.0,82.1,91.3
2025-11-29 05:51:13,5.5,81.9,91.3
2025-11-29 05:52:14,5.4,82.2,91.3
2025-11-29 05:53:15,9.8,82.1,91.3
2025-11-29 05:54:16,6.2,81.8,91.3
2025-11-29 05:55:17,9.8,82.0,91.3
2025-11-29 05:56:18,10.2,81.8,91.3
2025-11-29 05:57:19,10.9,81.3,91.3
2025-11-29 05:58:20,4.3,81.6,91.3
2025-11-29 05:59:21,7.0,81.9,91.3
2025-11-29 06:00:22,6.6,81.7,91.3
2025-11-29 06:01:23,8.2,81.7,91.3
2025-11-29 06:02:24,10.4,82.2,91.3
2025-11-29 06:03:25,6.6,83.6,91.3
2025-11-29 06:04:26,10.6,82.2,91.3
2025-11-29 06:05:27,11.7,82.7,91.3
2025-11-29 06:06:28,4.3,82.6,91.3
2025-11-29 06:07:29,7.7,82.8,91.3
2025-11-29 06:08:30,4.7,83.0,91.3
2025-11-29 06:09:31,7.8,82.9,91.3
2025-11-29 06:10:32,9.7,82.8,91.3
2025-11-29 06:11:33,18.1,82.6,91.3
2025-11-29 06:12:34,4.7,81.6,91.3
2025-11-29 06:13:35,4.7,81.4,91.3
2025-11-29 06:14:36,11.7,81.5,91.3
2025-11-29 06:15:37,15.9,81.5,91.3
2025-11-29 06:16:38,23.1,81.9,91.3
2025-11-29 06:17:39,7.3,81.6,91.3
2025-11-29 06:18:40,10.9,81.6,91.3
2025-11-29 06:19:41,58.6,82.5,91.3
2025-11-29 06:20:42,12.9,81.8,91.3
2025-11-29 06:21:43,7.4,81.6,91.3
2025-11-29 06:22:44,6.6,81.7,91.3
2025-11-29 06:23:45,10.9,82.2,91.3
2025-11-29 06:24:46,5.8,81.8,91.3
2025-11-29 06:25:47,6.3,82.0,91.3
2025-11-29 06:26:48,10.2,82.0,91.3
2025-11-29 06:27:49,10.5,81.4,91.3
2025-11-29 06:28:50,8.5,81.3,91.3
2025-11-29 06:29:51,7.4,81.6,91.3
2025-11-29 06:30:52,10.4,82.2,91.3
2025-11-29 06:31:53,9.8,82.4,91.3
2025-11-29 06:32:54,9.3,82.3,91.3
2025-11-29 06:33:55,6.6,82.1,91.3
2025-11-29 06:34:56,5.1,81.8,91.3
2025-11-29 06:35:57,7.8,82.0,91.3
2025-11-29 06:36:58,5.1,82.2,91.3
2025-11-29 06:37:59,7.4,82.3,91.3
2025-11-29 06:39:00,10.9,82.2,91.3
2025-11-29 06:40:01,7.8,82.4,91.3
2025-11-29 06:41:02,10.2,82.5,91.3
2025-11-29 06:42:03,10.0,82.3,91.3
2025-11-29 06:43:04,7.0,81.6,91.3
2025-11-29 06:44:05,10.5,81.5,91.3
2025-11-29 06:45:06,5.4,81.5,91.3
2025-11-29 06:46:07,5.1,81.7,91.3
2025-11-29 06:47:08,3.5,81.8,91.3
2025-11-29 06:48:09,10.8,81.7,91.3
2025-11-29 06:49:11,9.8,81.8,91.3
2025-11-29 06:50:12,7.4,82.0,91.3
2025-11-29 06:51:13,3.5,82.1,91.3
2025-11-29 06:52:14,7.8,82.1,91.3
2025-11-29 06:53:15,5.5,82.1,91.3
2025-11-29 06:54:16,7.0,82.1,91.3
2025-11-29 06:55:17,7.8,82.2,91.3
2025-11-29 06:56:18,7.4,82.3,91.3
2025-11-29 06:57:19,7.8,81.7,91.3
2025-11-29 06:58:20,6.6,81.6,91.3
2025-11-29 06:59:21,6.6,81.7,91.3
2025-11-29 07:00:22,8.9,82.3,91.3
2025-11-29 07:01:23,9.3,82.3,91.3
2025-11-29 07:02:24,7.0,82.5,91.3
2025-11-29 07:03:25,6.6,83.8,91.3
2025-11-29 07:04:26,7.8,82.6,91.3
2025-11-29 07:05:27,4.3,82.6,91.3
2025-11-29 07:06:28,5.9,82.9,91.3
2025-11-29 07:07:29,7.8,82.7,91.3
2025-11-29 07:08:30,9.8,82.6,91.3
2025-11-29 07:09:31,10.0,82.5,91.3
2025-11-29 07:10:32,4.3,82.7,91.3
2025-11-29 07:11:33,9.3,83.0,91.3
2025-11-29 07:12:34,12.5,81.8,91.3
2025-11-29 07:13:35,14.5,81.5,91.3
2025-11-29 07:14:36,9.0,81.5,91.3
2025-11-29 07:15:37,5.4,81.6,91.3
2025-11-29 07:16:38,5.1,81.8,91.3
2025-11-29 07:17:39,24.1,82.2,91.3
2025-11-29 07:18:40,9.7,82.1,91.3
2025-11-29 07:19:41,5.9,82.2,91.3
2025-11-29 07:20:42,6.2,82.3,91.3
2025-11-29 07:21:43,5.8,82.3,91.3
2025-11-29 07:22:44,9.4,82.3,91.3
2025-11-29 07:23:45,24.9,82.6,91.3
2025-11-29 07:24:46,5.8,82.2,91.3
2025-11-29 09:51:57,100.0,88.7,91.3
